NAME OF DELIVERY POST OFFICE,POST CODE,ACCOUNT OFFICE,PROVINCE,POST CODE OF ATTACHED BRANCH OFFICE 
PIRYALO,66000,Khairpur GPO,Sindh,66001
PISHIN,86700,Quetta GPO,Balochistan,86701
PITHARO,69060,Mirpur Khas GPO,Sindh,69061
PITHO RANI ,10036,Bhimber GPO,Azad Kashmir,10037
PLAI,23270,Mardan GPO,KPK,23271
PLANGI,12508,Bagh GPO,Azad Kashmir,12509
POLICE TRAINING SCHOOL SHAHDADPUR,68040,Sanghar GPO,Sindh,68041
POONA,10100,Bhimber GPO,Azad Kashmir,10101
PORT QASIM,75020,Korangi GPO,Sindh,75021
POTHA,11014,Kotli GPO,Azad Kashmir,11015
POTHA BAINSI,10450,Mirpur GPO,Azad Kashmir,10451
POTHI,47690,Gujar Khan GPO,Punjab,47691
PRI JO GOTH,66030,Khairpur GPO ,Sindh,66031
PULL SUNNY,64230,Rahimyar Khan GPO,Punjab,64231
PUNJA,40464,Sargodha GPO,Punjab,40465
PUNJA KASSI,58258,Khanewal GPO,Punjab,58259
PUNJAB SMALL INDUSTRY ,58240,Khanewal GPO,Punjab,58241
PUNJGRAN KHURD,47830,Gujar Khan GPO,Punjab,47831
QABULA,57480,Sahiwal GPO,Punjab,57481
QAID ABAD,41300,Khushab GPO,Punjab,41301
QAIM PUR,63040,Bahawalpur GPO,Punjab,63041
QALANDERABAD,22000,Abbottabad GPO,KPK,22001
QAMARABAD,67160,Nawabshah GPO,Sindh,67161
QAMAR-UD-DIN KAREZ,85300,Loralai GPO,Balochistan,85301
QASIMABAD,71100,Hyderabad GPO,Sindh,71101
QASIRABAD COLONY,52100,Gujranwala GPO,Punjab,52101
QAZI AHMED,67200,Nawabshah GPO,Sindh,67201
QILA DIDAR SINGH,52330,Gujranwala GPO,Punjab,52331
QILA MIAN SINGH,52360,Gujranwala GPO,Punjab,52361
QILA SHEIKHUPURA GPO,39350,Qila Sheikhupura GPO,Punjab,39351
QILAGAY,21420,Mansehra GPO,KPK,21421
QILLAN,12090,Rawalakot GPO,Azad Kashmir,12091
QUAIDABAD,75120,Korangi GPO,Sindh,75121
QUETTA AIR PORT,87650,Quetta GPO,Balochistan,87651
QUETTA GPO,87300,Quetta GPO,Balochistan,87301
QURESHI,34310,Muzaffargarh GPO,Punjab,34311
RADHAN,76310,Dadu GPO,Sindh,76311
RAFA-E-AAM SOCIETY KARACHI,75210,Korangi GPO,Sindh,75211
RAHARA,12320,Rawalakot GPO,Azad Kashmir,12321
RAHIM ABAD,19210,Saidu Sharif GPO,KPK,19211
RAHIMABAD,12110,Rawalakot GPO,Azad Kashmir,12111
RAHIMKOT,13250,Muzaffarabad GPO,Azad Kashmir,13251
RAHIMYAR KHAN GPO,64200,Rahimyar Khan GPO,Punjab,64201
RAILWAY CROSSING JAMSHORO ,76060,Hyderabad GPO,Sindh,76061
RAISAN,26196,Kohat GPO,KPK,26197
RAITLA MANDI,43444,Attock GPO,Punjab ,43445
RAIWIND,55150,Lahore GPO,Punjab,55151
RAJA JANG,55140,Kasur GPO,Punjab,55141
RAJAN PUR,33500,Dera Ghazi Khan GPO,Punjab,33501
RAJANA ROAD,36070,T.T Singh GPO,Punjab,36071
RAJAR,41340,Khushab GPO,Punjab,41341
RAJJAR,24480,Charsadda GPO,KPK,24481
RAJO KHANANI,72110,Hyderabad GPO,Sindh,72111
RAJOYA,22530,Abbottabad GPO,KPK,22531
RAJRA GARHI,51402,Sialkot GPO,Punjab,51403
RAKHNI,84500,Loralai GPO,Balochistan,84501
RAM PURA,62120,Bahawal Nagar GPO,Punjab,62121
RAMAK,29232,Dera Ismail Khan GPO,KPK,29233
RAMAN,47810,Gujar Khan GPO,Punjab,47811
RANG PUR,34650,Muzaffargarh GPO,Punjab,34651
RANGLA ,12610,Bagh GPO,Azad Kashmir,12611
RANGLI,43232,Attock GPO,Punjab,43233
RANGOO,43500,Attock GPO,Punjab,43501
RANGPUR,29206,Dera Ismail Khan GPO,KPK,29207
RANGPUR BAGHOR,41320,Khushab GPO,Punjab,41321
RANI PUR,66100,Khairpur GPO ,Sindh,66101
RANOLIA,20300,Mansehra GPO,KPK,20301
RAR KAN,84900,Loralai GPO,Balochistan,84901
RARA SHAM,84600,Loralai GPO,Balochistan,84601
RASHANG,21036,Mansehra GPO,KPK,21037
RASHIDABAD,70012,Hyderabad GPO,Sindh,70013
RASKAI,24070,Nowshera GPO,KPK,24071
RASUL,50370,Mandi Bahauddin GPO,Punjab,50371
RASUL G.C.T.,50380,Mandi Bahauddin GPO,Punjab,50381
RASUL NAGAR,52090,Gujranwala GPO,Punjab,52091
RATO DERA,77380,Larkana GPO,Sindh,77381
RATTA,10540,Mirpur GPO,Azad Kashmir,10541
RAWAL TOWN,45510,Islamabad GPO,Federal Capital,45511
RAWALKOT GPO,12350,Rawalakot GPO,Azad Kashmir,12351
RAWALPINDI CHAK JALAL DIN,46520,Rawalpindi GPO,Punjab,46521
RAWALPINDI FIZAIA COLONY,46330,Rawalpindi GPO,Punjab,46331
RAWALPINDI G.P.O.,46000,Rawalpindi GPO,Punjab,46001
RAWALPINDI HIGH COURT ,46610,Rawalpindi GPO,Punjab,46611
RAWALPINDI JUDICIAL TOWN,46310,Rawalpindi GPO,Punjab,46311
RAWALPINDI KOHINOOR COLONY,46070,Rawalpindi GPO,Punjab,46071
RAWALPINDI KUTCHERY,46510,Rawalpindi GPO,Punjab,46511
RAWALPINDI MOMIN PURA,46010,Rawalpindi GPO,Punjab,46011
RAWALPINDI P.M.O COMPLEX,47086,Wah Cantt. GPO,Punjab,47087
RAWALPINDI RAJA TOWN,46320,Rawalpindi GPO,Punjab,46321
RAWALPINDI SATELLITE TOWN,46300,Rawalpindi GPO,Punjab,46301
RAWALPINDI URDU BAZAR,46020,Rawalpindi GPO,Punjab,46021
RAWALPINDI WESTRIDGE,46060,Rawalpindi GPO,Punjab,46061
RAYYANPURA,39018,Qila Sheikhupura GPO,Punjab,39019
RAZKAK CADET COLLEGE ,28260,Bannu GPO,KPK,28261
RAZMAK,28270,Bannu GPO,KPK,28271
REERA BAZAR,12550,Bagh GPO,Azad Kashmir,12551
REGI,24710,Peshawar GPO,KPK,24711
REHANA,22600,Haripur GPO,KPK,22601
REHMANI KHEL,29012,Dera Ismail Khan GPO,KPK,29013
REHNA SADAT,48604,Chakwal GPO,Punjab,48605
RENALA KHURD,56130,Okara GPO,Punjab,56131
RESHUN,17110,Chitral GPO,KPK,17111
RETRA,32040,Dera Ghazi Khan GPO,Punjab,32041
REWAT,45900,Islamabad GPO,Federal Capital,45901
RICHH BHAN,22106,Abbottabad GPO,KPK,22107
RIGHT BANK (TARBELLA),23470,Sawabi GPO,KPK,23471
RIKHI,42250,Mianwali GPO,Punjab,42251
RIND ALI,81410,SIBI GPO,Balochistan,81411
RISAL PUR,24080,Nowshera GPO,KPK,24081
RISAL PUR P.A.F,24090,Nowshera GPO,KPK,24091
ROBBY TAXTILE MILL KASUR,55170,Kasur GPO,Punjab,55171
RODA,41030,Khushab GPO,Punjab,41031
ROHILAN WALI,34400,Muzaffargarh GPO,Punjab,34401
ROHRI,65170,Sukkur GPO,Sindh,65171
ROHRI CEMENT WORKS,65180,Sukkur GPO,Sindh,65181
ROHTAS,49370,Jhelum GPO,Punjab,49371
ROJHAN,33700,Dera Ghazi Khan GPO,Punjab,33701
RORALA ROAD,37200,Faisalabad GPO,Punjab,37201
RUDO SULTAN,35160,Jhang GPO,Punjab,35161
RUK,78064,Shikarpur GPO,Sindh,78065
RUKKAN,50510,Mandi Bahauddin GPO,Punjab,50511
RUPER KALAN,47640,Rawalpindi GPO,Punjab,47641
RUSTAM,23370,Mardan GPO,KPK,23371
SAADAT PUR,50020,Gujrat GPO,Punjab,50021
SABIR ABAD,27000,Karak GPO,KPK,27001
SABOWAL,50750,Gujrat GPO,Punjab,50751
SADDA,26290,Kohat GPO,KPK,26291
SADDAR BAZAR DERA ISMAIL KHAN,29140,Dera Ismail Khan GPO,KPK,29141
SADDAT COLONY,47090,Wah Cantt. GPO,Punjab,47091
SADEN MIRA,21046,Mansehra GPO,KPK,21047
SADHOKE ,52368,Gujranwala GPO,Punjab,52369
SADIK ABAD,64350,Rahimyar Khan GPO,Punjab,64351
SADIQ GARH PALACE,63360,Bahawalpur GPO,Punjab,63361
SADIQ PUBLIC SCHOOL BAHAWALPUR,63180,Bahawalpur GPO,Punjab,63181
SADIQIA,62250,Bahawal Nagar GPO,Punjab,62251
SADOJA,67120,Nawabshah GPO,Sindh,67121
SADWAL,48600,Chakwal GPO,Punjab,48601
SAEEDABAD,70100,Hyderabad GPO,Sindh,70101
SAFARI VALLEY,46620,Rawalpindi GPO,Punjab,46621
SAFDAR ABAD,39540,Qila Sheikhupura GPO,Punjab,39541
SAGHAR,48150,Talagang GPO,Punjab,48151
SAGRI,49390,Jhelum GPO,Punjab,49391
SAGRI,47540,Rawalpindi GPO,Punjab,47541
SAHIWAL (SARGODHA),40210,Sargodha GPO,Punjab,40211
SAHIWAL GOVERNMENT COLLEGE,57040,Sahiwal GPO,Punjab,57041
SAHIWAL GPO,57000,Sahiwal GPO,Punjab,57001
SAHIWALA,63354,Bahawalpur GPO,Punjab,63355
SAHOWALA,51060,Sialkot GPO,Punjab,51061
SAHUWALA (CHAK 132/RB),37750,Faisalabad GPO,Punjab,37751
SAIDPUR,51274,Sialkot GPO,Punjab,51275
SAIDU SHARIF GPO,19200,Saidu Sharif GPO,KPK,19201
SAIGAL ABAD,48830,Chakwal GPO,Punjab,48831
SAIL SHARIF,40220,Sargodha GPO,Punjab,40221
SAIR DOOR,17234,Chitral GPO,KPK,17235
SAKHI CHASHMA,25170,Peshawar GPO,KPK,25171
SAKHI SARWAR,32300,Dera Ghazi Khan GPO,Punjab,32301
SAKOOT,47444,Rawalpindi GPO,Punjab,47445
SAKRAND,67210,Nawabshah GPO,Sindh,67211
SALEH KHANA,24270,Nowshera GPO,KPK,24271
SALEH PAT,65150,Sukkur GPO,Sindh,65151
SALOI,48420,Chakwal GPO,Punjab,48421
SAMAN,43480,Attock GPO,Punjab,43481
SAMAR BAGH,18600,Batkhela HPO,KPK,18601
SAMAR ROAD,69150,Mirpur Khas GPO,Sindh,69151
SAMARO,69350,Mirpur Khas GPO,Sindh,69351
SAMASATTA,63250,Bahawalpur GPO,Punjab,63251
SAMBRIAL,51070,Sialkot GPO,Punjab,51071
SAMINA,32230,Dera Ghazi Khan GPO,Punjab,32231
SAMINANI,10060,Bhimber GPO,Azad Kashmir,10061
SAMLI SANATORIUM,47104,Murree GPO,Punjab,47105
SAMMAYAR,15120,Gilgit GPO,GB,15121
SAMOTE,47490,Rawalpindi GPO,Punjab,47491
SAMRALA,50982,Gujrat GPO,Punjab,50983
SAMUNDRI,37300,Faisalabad GPO,Punjab,37301
SAMUNGALI,87600,Quetta GPO,Balochistan,87601
SANDHLIAN WALI,36320,T.T Singh GPO,Punjab,36321
SANG,47700,Gujar Khan GPO,Punjab,47701
SANG KALAN,48704,Chakwal GPO,Punjab,48705
SANG WALA,48034,Talagang GPO,Punjab,48035
SANGHAR GPO,68100,Sanghar GPO,Sindh,68101
SANGHOI,49700,Jhelum GPO,Punjab,49701
SANGHOLA,12390,Rawalakot GPO,Azad Kashmir,12391
SANGLA HILL,39600,Qila Sheikhupura GPO,Punjab,39601
SANGRAL,47294,Rawalpindi GPO,Punjab,47295
SANJAR PUR,64460,Rahimyar Khan GPO,Punjab,64461
SANJWAL PAKISTAN ORDNANCE FACTORY,43670,Attock GPO,Punjab,43671
SANKHATRA,51650,Narowal GPO,Punjab,51651
SANNI,81450,Sibi GPO,Balochistan,81451
SAR BAND,25230,Peshawar GPO,KPK,25231
SAR KALAN,48570,Chakwal GPO,Punjab,48571
SARAI ALAMGIR,50000,Gujrat GPO,Punjab,50001
SARAI GAMBILA,28370,Bannu GPO,KPK,28371
SARAI MIRANSHAH,28200,Bannu GPO,KPK,28201
SARAI MOHAJIR,30020,Bhakkar GPO,Punjab,30021
SARAI NAURANG,28350,Bannu GPO,KPK,28351
SARAI NAURANG MAIN BAZAR,28352,Bannu GPO,KPK,28353
SARAI NIAMAT KHAN,22720,Haripur GPO,KPK,22721
SARAI SALEH,22590,Haripur GPO,KPK,22591
SARAI SIDHU,58190,Khanewal GPO,Punjab,58191
SARANAN,86400,Quetta GPO,Balochistan,86401
SARAROGHA,29480,Tank GPO,KPK,29481
SARDAR PUR JHANDEER,61240,Vehari GPO,Punjab,61241
SARDHERI BAZAR,24460,Charsadda GPO,KPK,24461
SAREE CHOWK,45410,Islamabad GPO,FCA,45411
SARGODHA CANTT,40190,Sargodha GPO,Punjab,40191
SARGODHA G.P.O.,40100,Sargodha GPO,Punjab,40101
SARGODHA P.A.F BASE,40180,Sargodha GPO,Punjab,40181
SARGODHA SECONDARY BOARD,40160,Sargodha GPO,Punjab,40161
SARGODHA TAXTILE MILLS,40170,Sargodha GPO,Punjab,40171
SARHAD,65100,Sukkur GPO,Sindh,65101
SARHARI,68010,Sanghar GPO,Sindh,68011
SARIAB,87900,Quetta GPO,Balochistan,87901
SARIAB ROAD,87550,Quetta GPO,Balochistan,87551
SARIYA,50994,Gujrat GPO,Punjab,50995
SAROBA,49024,Jhelum GPO,Punjab,49025
SAROZAI,26250,Kohat GPO,KPK,26251
SARSAWA,11110,Kotli GPO,Azad Kashmir,11111
SARWAKAI,29510,Tank GPO,KPK,29511
SASRAL,47890,Gujar Khan GPO,Punjab,47891
SATELITTE TOWN MIRPUR KHAS,69020,Mirpur Khas GPO,Sindh ,69021
SATELLITE TOWN QUETTA,87500,Quetta GPO,Balochistan,87501
SATIANA BANGLOW,37450,Faisalabad GPO,Punjab,37451
SATRAH,51500,Sialkot GPO,Punjab,51501
SATTAR KHAN COLONY,23280,Mardan GPO,KPK,23281
SATURA,22570,Abbottabad GPO,KPK,22571
SAUWAL,49070,Jhelum GPO,Punjab,49071
SAWABI HPO,23430,Sawabi GPO,KPK,23431
SAWAL DHER,23360,Mardan GPO,KPK,23361
SAYYAD KISRAN,47820,Gujar Khan GPO,Punjab,47821
SAYYED WALA,39150,Qila Sheikhupura GPO,Punjab,39151
SECONDARY BOARD,60750,Multan GPO,Punjab,60751
SEHER MANDI,11020,Kotli GPO,Azad Kashmir,11021
SEHIRA,12174,Rawalakot GPO,Azad Kashmir,12175
SEHNA,50150,Gujrat GPO,Punjab,50151
SEHNSA,11010,Kotli GPO,Azad Kashmir,11011
SEHR BAGLA,47204,Murree GPO,Punjab,47205
SEHWAN,76140,Dadu GPO,Sindh,76141
SENI GUMBAT,26120,Kohat GPO,KPK,26121
SERI,11210,Kotli GPO,Azad Kashmir,11211
SERMIK,16350,Skardu HPO,Northern Area,16351
SETHARJA,66200,Khairpur GPO ,Sindh,66201
SHABAZ AZMAT KHEL,28120,Bannu GPO,KPK,28121
SHABQADAR FORT,24630,Charsadda GPO,KPK,24631
SHADAN LUND,32150,Dera Ghazi Khan GPO,Punjab,32151
SHADI KHAN,43530,Attock GPO,Punjab,43531
SHADI KHAN CHANDIO,67204,Nawabshah GPO,Sindh,67205
SHADI PAL,69050,Mirpur Khas GPO,Sindh,69051
SHADIA,42120,Mianwali GPO,Punjab,42121
SHADIWAL,50680,Gujrat GPO,Punjab,50681
SHAH ALAM MARKET ,54100,Lahore GPO,Punjab,54101
SHAH ALLAH DITTA,45220,Islamabad GPO,Federal Capital,45221
SHAH BAZ GARHI,23390,Mardan GPO,KPK,23391
SHAH GRAM,17080,Chitral GPO,KPK,17081
SHAH JAMAL,34370,Muzaffargarh GPO,Punjab,34371
SHAH JEWANA MANDI,35550,Jhang GPO,Punjab,35551
SHAH JEWNA CITY,35560,Jhang GPO,Punjab ,35561
SHAH KOT,39630,Qila Sheikhupura GPO,Punjab,39631
SHAH MANSOOR,23650,Mardan GPO,KPK,23651
SHAH NIKDAR,40000,Sargodha GPO,Punjab,40001
SHAH PUR,31150,Layyah GPO,Punjab,31151
SHAH PUR CITY,40610,Sargodha GPO,Punjab,40611
SHAH PUR SADAR,40600,Sargodha GPO,Punjab,40601
SHAH SADDAR DIN,32170,Dera Ghazi Khan GPO,Punjab,32171
SHAHBAZ KHEL,28426,Bannu GPO,KPK,28427
SHAHDAD KOT,77300,Larkana GPO,Sindh,77301
SHAHDADPUR,68030,Sanghar GPO,Sindh,68031
SHAHDARA BAGH,54950,Lahore GPO,Punjab,54951
SHAHEENABAD,40130,Sargodha GPO,Punjab,40131
SHAHI MOHALLAH ,54110,Lahore GPO,Punjab,54111
SHAHI TUMP,92500,Turbat GPO,Balochistan,92501
SHAHIBABAD,18210,Batkhela HPO,KPK,18211
SHAHPUR CHAKAR,68200,Sanghar GPO,Sindh,68201
SHAIDU,24030,Nowshera GPO,KPK,24031
SHAKAR DARA,26380,Kohat GPO,KPK,26381
SHAKAR GARH,51800,Narowal GPO,Punjab,51801
SHAM DHERA,21410,Mansehra GPO,KPK,21411
SHAMS ABAD,43490,Attock GPO,Punjab,43491
SHARAQ PUR,39460,Qila Sheikhupura GPO,Punjab,39461
SHARDA,13232,Muzaffarabad GPO,AJK,10233
SHARIGH,82400,Sibi GPO,Balochistan,82401
SHARINGAL,18050,Batkhela HPO,KPK,18051
SHEHAR SULTAN,34410,Muzaffargarh GPO,Punjab,34411
SHEIKH BHARKIO,70200,Hyderabad GPO,Sindh,70201
SHEIKH FAZAL,57214,Sahiwal GPO,Punjab,57215
SHEIKH PUR,50764,Gujrat GPO,Punjab,50765
SHEIKHABAD,24470,Charsadda GPO,KPK,24471
SHEIKHUL BANDI,22090,Abbottabad GPO,KPK,22091
SHEIKHUPURA SERVICE INDUSTRY,39040,Qila Sheikhupura GPO,Punjab,39041
SHER GARH,56140,Okara GPO,Punjab,56141
SHER GARH,23100,Mardan GPO,KPK,23101
SHER GARH (MANSEHRA),21450,Mansehra GPO,KPK,21451
SHER KOT,26014,Kohat GPO,KPK,26015
SHERKIRA,24860,Peshawar GPO,KPK,24861
SHERPAO,24530,Charsadda GPO,KPK,24531
SHERWAN,22120,Abbottabad GPO,KPK,22121
SHEWA,23424,Mardan GPO,KPK,23425
SHIGAR,16300,Skardu HPO,Northern Area,16301
SHIKARPUR GPO,78100,Shikarpur GPO,Sindh,78101
SHINKA,43420,Attock GPO,Punjab,43421
SHINKIARI,21140,Mansehra GPO,KPK,21141
SHINKIARI CAMP,21150,Mansehra GPO,KPK,21151
SHOKOOR,24508,Charsadda GPO,KPK,24509
SHOLGARAHA,20400,Mansehra GPO,KPK,20401
SHOR KOT CANTT.,35010,Jhang GPO,Punjab,35011
SHOR KOT CITY,35050,Jhang GPO,Punjab,35051
SHOT KHARA,17090,Mardan GPO,KPK,17091
SHUJABAD,59220,Multan GPO,Punjab,59221
SIAKH,10300,Mirpur GPO,Azad Kashmir,10301
SIAL,30010,Bhakkar GPO,Punjab,30011
SIAL CHOWK,40222,Sargodha GPO,Punjab,40223
SIALKOT CANTT.,51300,Sialkot GPO,Punjab,51301
SIALKOT GPO,51310,Sialkot GPO,Punjab,51311
SIBI G.P.O.,82000,Sibi GPO,Balochistan,82001
SIBI PETROL PUMP,82200,Sibi GPO,Balochistan,82201
SIBI RAILWAY COLONY,82100,Sibi GPO,Balochistan,82101
SIDH,50972,Gujrat GPO,Punjab,50973
SIDHER,48640,Chakwal GPO,Punjab,48641
SIHAL,47290,Rawalpindi GPO,Punjab,47291
SIHALA,45750,Islamabad GPO,Federal Capital,45751
SIKANDAR ABAD,59210,Multan GPO,Punjab,59211
SIKANDARABAD,15400,Gilgit GPO,Northern Area,15401
SIKANDARABAD ,70104,Hyderabad GPO,Sindh,70105
SIKARIALI,50260,Gujrat GPO,Punjab,50261
SILLAN WALI,40010,Sargodha GPO,Punjab,40011
SINAWAN,34100,Muzaffargarh GPO,Punjab,34101
SINDH ABADGAR SUGAR MILLS T.M. KHAN,73024,Hyderabad GPO,Sindh,73025
SINDH AGRICULTURE UNIVERSITY TANDO JAM,70060,Hyderabad GPO,Sindh,70061
SINDH INDUSTRIAL TRADING ESTATE HYDERABAD,71900,Hyderabad GPO,Sindh,71901
SINDH REGIMENTAL CENTRE HYDERABAD,71850,Hyderabad GPO,Sindh,71851
SINGAL,15160,Gilgit GPO,Northern Area,15161
SINJAWI,84300,Loralai GPO,Balochistan,84301
SINJHORO,68220,Sanghar GPO,Sindh,68221
SIR SUBA SHAH,47480,Rawalpindi GPO,Punjab,47481
SIRIKOT,22840,Haripur GPO,KPK,22841
SIRKA,43520,Attock GPO,Punjab,43521
SIT PUR,34480,Muzaffargarh GPO,Punjab,34481
SITA,76250,Dadu GPO,Sindh,76251
SITARA COLONY,38086,Faisalabad GPO,Punjab,38087
SITE KOTRI,76010,Hyderabad GPO,Sindh,76011
SKARDU AIRPORT,16200,Skardu HPO,Northern Area,16201
SKARDU BAZAR,16100,Skardu HPO,Northern Area,16101
SKARDU HPO,16100,Skardu HPO,Northern Area,16101
SKINDAR KHEL BALA,28106,Bannu GPO,KPK,28107
SMALL INDUSTRIES ESTATE,51340,Sialkot GPO,Punjab,51341
SOBHO DERA,66110,Khairpur GPO ,Sindh,66111
SOBOOR,50932,Gujrat GPO,Punjab,50933
SODHI,41110,Khushab GPO,Punjab,41111
SOHAN,45740,Islamabad GPO,Federal Capital,45741
SOHARAN CHATHA,52342,Gujranwala GPO,Punjab,52343
SOHAT BAGIAL,47474,Rawalpindi GPO,Punjab,47475
SOHAWA,49230,Jhelum GPO,Punjab,49231
SOHAWA BULANI,50470,Mandi Bahauddin GPO,Punjab,50471
SOHAWA VILLAGE,48850,Chakwal GPO,Punjab,48851
SOHBAT PUR,80600,Sibi GPO,Balochistan,80601
SOHDRA,52030,Gujranwala GPO,Punjab,52031
SOHJA,64120,Rahimyar Khan GPO,Punjab,64121
SOKAR,32140,Dera Ghazi Khan GPO,Punjab,32141
SOLO BULEDA,92810,Turbat GPO,Balochistan,92811
SOMMIANI (WINDER),90210,Khuzdar GPO,Balochistan,90211
SOON TOPA ,12340,Rawalakot GPO,Azad Kashmir,12341
SORAB,88400,Khuzdar GPO,Balochistan,88401
SORAH,66170,Khairpur GPO,Sindh,66171
SORANGE,88050,Quetta GPO,Balochistan,88051
SOUR,47364,Rawalpindi GPO,Punjab,47365
SPIN KHAK,24250,Nowshera GPO,KPK,24251
STAFF COLLEGE QUETTA,87800,Quetta GPO,Balochistan,87801
SUI GAS FIELD SIBI,80000,Sibi GPO,Balochistan,80001
SUJAWAL,73050,Hyderabad GPO,Sindh,73051
SUKHE KE MANDI,52160,Gujranwala GPO,Punjab,52161
SUKHO,47720,Gujar Khan GPO,Punjab,47721
SUKHO CHAK,51840,Narowal GPO,Punjab,51841
SUKKUR BOARD OF SECONDARY EDUCATION,65210,Sukkur GPO,Sindh,65211
SUKKUR GPO,65200,Sukkur GPO,Sindh,65201
SULEMANKI HEAD WORKS,56030,Okara GPO,Punjab,56031
SULTAN COLONY,34600,Muzaffargarh GPO,Punjab,34601
SULTAN KOT,78250,Shikarpur GPO,Sindh,78251
SULTANABAD,28354,Bannu GPO,KPK,28355
SUMBALGAH,47320,Rawalpindi GPO,Punjab,47321
SUNNY BANK,47140,Murree GPO,Punjab,47141
SURAJ MIANI,59070,Multan GPO,Punjab,59071
SURAKHPUR,50812,Gujrat GPO,Punjab,50813
SURG,43252,Attock GPO,Punjab,43253
SURG DHAN,49220,Jhelum GPO,Punjab,49221
SURGUL,26350,Kohat GPO,KPK,26351
SURRAKI,41102,Khushab GPO,Punjab,41103
SUST,15800,Gilgit GPO,Northern Area,15801
SWANCE,42304,Mianwali GPO,Punjab,42305
TABISAR,42370,Mianwali GPO,Punjab,42371
TAHLIAN,12014,Rawalakot GPO,Azad Kashmir,12015
TAHLIAN WALA,49608,Jhelum GPO,Punjab,49609
TAJA ZAI,28360,Bannu GPO,KPK,28361
TAJORI,28380,Bannu GPO,KPK,28381
TAJPURA,54870,Lahore Cantt GPO,Punjab,54871
TAKAL,47500,Rawalpindi GPO,Punjab,47501
TAKHT MAHAL,62310,Bahawal Nagar GPO,Punjab,62311
TAKHTI KHEL,28322,Bannu GPO,KPK,28323
TAKKAR,23164,Mardan GPO,KPK,23165
TAKWARA ,29380,Dera Ismail Khan GPO,KPK,29381
TALAGANG CITY ,48090,Talagang GPO,Punjab,48091
TALAGANG G.P.O.,48100,Talagang GPO,Punjab,48101
TALAMBA,58080,Khanewal GPO,Punjab,58081
TALHAR,72100,Hyderabad GPO,Sindh,72101
TALHI,69210,Mirpur Khas GPO,Sindh,69211
TALLI,82010,SIBI GPO,Balochistan,82011
TALWANDI,55020,Kasur GPO,Punjab,55021
TALWANDI BHINDRAN,51570,Narowal GPO,Punjab,51571
TALWANDI RAHWALI,52280,Gujranwala GPO,Punjab,52281
TAMMAN,48040,Talagang GPO,Punjab,48041
TANDA,50810,Gujrat GPO,Punjab,50811
TANDLIAN WALA,37150,Faisalabad GPO,Punjab,37151
TANDO ADAM,68050,Sanghar GPO,Sindh,68051
TANDO ALLAHYAR,70010,Hyderabad GPO,Sindh,70011
TANDO BAGO,72120,Hyderabad GPO,Sindh,72121
TANDO GHULAM ALI,72050,Hyderabad GPO,Sindh,72051
TANDO IKRAM,72220,Hyderabad GPO,Sindh,72221
TANDO JAM,70050,Hyderabad GPO,Sindh,70051
TANDO JAN MUHAMMAD,69320,Mirpur Khas GPO,Sindh,69321
TANDO MIR ALI,67020,Khairpur GPO,Sindh,67021
TANDO MIR ALI,67020,Nawabshah GPO,Sindh,67021
TANDO MITHA KHAN,68140,Sanghar GPO,Sindh,68141
TANDO MOHAMMAD KHAN,70220,Hyderabad GPO,Sindh,70221
TANDO QAISER,70070,Hyderabad GPO,Sindh,70071
TANDO WASO,68340,Sanghar GPO,Sindh,68341
TANGI,24540,Charsadda GPO,KPK,24541
TANGOWALI,40462,Sargodha GPO,Punjab,40463
TANGWANI,79150,Jacobabad GPO,Sindh,79151
TANK GPO,29400,Tank GPO,KPK,29401
TARAR KHEL,12080,Rawalakot GPO,Azad Kashmir,12081
TARBELA DAM COLONY,22850,Haripur GPO,KPK,22851
TAREEL,47546,Rawalpindi GPO,Punjab,47547
TARINDA R.S.,64180,Rahimyar Khan GPO,Punjab,64181
TARIQ ABAD (MIRPUR),10390,Mirpur GPO,Azad Kashmir,10391
TARKAI,49280,Jhelum GPO,Punjab,49281
TARLAI KALAN,45550,Islamabad GPO,Federal Capital,45551
TARNAB CHEENA,24600,Charsadda GPO,KPK,24601
TARNAB FARM,24330,Nowshera GPO,KPK,24331
TARNOL,45230,Islamabad GPO,Federal Capital,45231
TARRU JABBA,24310,Nowshera GPO,KPK,24311
TATEPUR,59020,Multan GPO,Punjab,59021
TATLEY AALI ,52380,Gujranwala GPO,Punjab,52381
TATRAL,48810,Chakwal GPO,Punjab,48811
TATRAL,47592,Rawalpindi GPO,Punjab,47593
TATTA PANI,11160,Kotli GPO,Azad Kashmir,11161
TAUNSA SHARIF,32100,Dera Ghazi Khan GPO,Punjab,32101
TAURANGZAI,24490,Charsadda GPO,KPK,24491
TAXILA,47080,Wah Cantt. GPO,Punjab,47081
TAXILA CANTT.,47070,Wah Cantt. GPO,Punjab,47071
TAZAGRAM,23140,Mardan GPO,KPK,23141
TEHI,48070,Talagang GPO,Punjab,48071
TEHKAL BALA,25140,Peshawar GPO,KPK,25141
TEHKAL PAYAN,25150,Peshawar GPO,KPK,25151
TELEGRAPH WORKSHOP KOTRI,76030,Hyderabad GPO,Sindh,76031
TERI,26390,Kohat GPO,KPK,26391
TERU,15350,Skardu HPO,Northern Area,15351
THAGAS,16900,Skardu HPO,Northern Area,16901
THAKOT,21030,Mansehra GPO,KPK,21031
THAL KHALSA,47522,Rawalpindi GPO,Punjab,47523
